iter	RMSE
163	36161.67322
164	36053.88009
165	35933.00307
166	35819.93954
167	35702.54553
168	35576.83997
169	35457.65219
170	35347.34949
171	35223.26439
172	35111.99184
173	34995.6879
174	34873.64698
175	34776.95823
176	34667.46535
177	34567.97571
178	34455.26694
179	34350.7762
180	34238.92529
181	34154.09605
182	34059.00373
183	33954.36494
184	33856.29614
185	33762.22795
186	33673.55599
187	33586.16355
188	33491.70938
189	33394.62182
190	33299.41262
191	33197.50487
192	33116.80628
193	33000.84154
194	32924.48267
195	32844.05908
196	32744.24236
197	32646.41075
198	32561.88236
199	32476.47186
200	32383.26818
201	32295.21184
202	32204.558
203	32113.49072
204	32036.40695
205	31954.21238
206	31867.12343
207	31775.28244
208	31693.03934
209	31600.05965
210	31510.063
211	31421.00986
212	31337.39913
213	31257.19171
214	31175.03716
215	31108.25264
216	31037.82682
217	30974.95641
218	30901.27163
219	30829.81666
220	30763.65267
221	30702.35084
222	30630.6901
223	30551.71212
224	30468.66077
225	30381.55536
226	30314.19037
227	30233.17514
228	30162.53221
229	30094.31676
230	30017.59429
231	29953.77914
232	29884.87445
233	29826.06598
234	29754.67894
235	29700.86597
236	29613.04892
237	29541.71969
238	29466.41335
239	29408.95487
240	29348.80201
241	29292.70767
242	29225.40588
243	29168.00848
244	29113.81363
245	29056.22121
246	28993.67933
247	28939.02917
248	28884.0755
249	28824.66469
250	28775.44105
251	28721.91653
252	28678.91299
253	28616.33359
254	28560.66185
255	28508.13036
256	28458.78028
257	28397.74725
258	28342.83118
259	28284.00976
260	28224.17347
261	28174.13723
262	28120.36308
263	28074.27267
264	28022.49397
265	27966.0384
266	27911.45408
267	27862.94485
268	27812.27535
269	27765.63391
270	27711.97708
271	27659.6985
272	27617.43934
273	27560.81936
274	27506.8537
275	27460.1247
276	27410.53306
277	27366.95661
278	27317.50511
279	27259.50414
280	27213.13562
281	27174.9212
282	27125.14659
283	27085.0024
284	27036.22312
285	26990.53229
286	26947.78368
287	26904.93197
288	26856.76837
289	26820.70744
290	26761.95461
291	26724.49866
292	26682.21439
293	26638.7851
294	26597.87068
295	26554.0796
296	26508.70423
297	26469.50498
298	26430.27641
299	26384.5656
300	26350.7303
301	26305.14515
302	26265.0097
303	26210.59131
304	26171.96461
305	26139.47722
306	26107.36743
307	26060.06752
308	26022.88548
309	25977.24316
310	25932.46152
311	25894.84441
312	25855.19921
313	25821.06572
314	25773.5935
315	25728.21638
316	25697.25466
317	25658.71037
318	25624.22619
319	25586.83395
320	25552.50256
321	25510.62383
322	25475.53939
323	25437.77751
324	25401.29514
325	25367.88617
326	25336.89121
327	25301.91152
328	25264.55542
329	25234.37919
330	25182.20604
331	25149.71128
332	25122.22313
333	25090.6609
334	25055.62263
335	25029.98405
336	25008.12923
337	24980.12896
338	24952.16169
339	24919.74315
340	24890.4725
341	24848.96605
342	24814.76606
343	24786.96065
344	24758.33769
345	24729.28756
346	24698.97275
347	24663.90245
348	24633.09696
349	24600.72117
350	24562.39344
351	24532.96214
352	24500.08195
353	24470.77247
354	24444.41692
355	24421.64028
356	24389.71536
357	24349.72094
358	24323.17511
359	24291.74447
360	24265.94235
361	24237.75934
362	24204.4138
363	24175.51492
364	24148.73944
365	24124.94094
366	24096.82276
367	24069.17991
368	24042.09775
369	24012.3721
370	23977.84325
371	23938.52445
372	23918.44668
373	23884.72686
374	23859.5936
375	23829.21889
376	23802.1477
377	23775.27743
378	23747.95404
379	23725.94511
380	23701.29547
381	23675.62463
382	23646.78548
383	23613.48329
384	23594.14714
385	23576.49082
386	23550.66653
387	23524.52116
388	23500.05265
389	23475.77489
390	23456.02983
391	23425.72439
392	23406.12127
393	23373.98709
394	23343.38959
395	23316.77605
396	23293.02717
397	23271.90951
398	23244.5524
399	23224.10152
400	23201.59528
401	23177.71325
402	23151.1546
403	23126.30231
404	23107.49183
405	23077.5224
406	23054.36565
407	23038.27229
408	23015.28613
409	22993.10222
410	22967.12526
411	22944.44934
412	22921.27557
413	22893.07654
414	22871.19438
415	22850.22247
416	22823.49735
417	22800.80963
418	22781.03732
419	22757.64558
420	22736.54466
421	22711.93192
422	22695.00778
423	22668.60999
424	22643.7011
425	22624.03267
426	22599.08751
427	22577.01855
428	22553.28528
429	22536.97764
430	22516.12903
431	22497.75544
432	22474.30479
433	22452.82578
434	22428.19254
435	22401.29847
436	22374.92983
437	22354.85104
438	22330.76477
439	22308.75912
440	22293.73827
441	22274.26907
442	22259.79605
443	22240.8793
444	22217.77129
445	22200.32266
446	22186.25808
447	22173.76778
448	22149.11423
449	22127.75418
450	22095.57828
451	22074.79144
452	22057.19951
453	22033.33402
454	22011.66208
455	21996.70528
456	21974.24031
457	21965.3296
458	21945.24905
459	21926.46745
460	21906.40921
461	21885.01141
462	21865.71112
463	21846.65062
464	21833.32
465	21817.54622
466	21798.55989
467	21784.14295
468	21767.8627
469	21748.34807
470	21735.2939
471	21715.82612
472	21697.80926
473	21676.63584
474	21660.51147
475	21648.68291
476	21626.16172
477	21606.80524
478	21589.45552
479	21574.83927
480	21555.18155
481	21540.25774
482	21528.54203
483	21507.20092
484	21485.84821
485	21463.41724
486	21446.93141
487	21434.5866
488	21419.59026
489	21402.33222
490	21390.90744
491	21377.60797
492	21365.85149
493	21350.74166
494	21337.95385
495	21319.81861
496	21304.51917
497	21285.58236
498	21272.86907
499	21255.83522
500	21241.97645
501	21227.639
502	21203.17804
503	21185.10369
504	21163.10842
505	21146.67156
506	21132.34073
507	21120.42806
508	21103.95482
509	21091.22783
510	21076.91925
511	21066.43149
512	21054.2724
513	21034.33755
514	21016.07934
515	21001.21447
516	20985.91366
517	20972.64778
518	20956.35476
519	20948.35131
520	20932.91586
521	20923.52339
522	20910.83553
523	20894.09309
524	20879.35709
525	20866.20032
526	20849.70287
527	20833.83864
528	20820.58139
529	20802.00114
530	20789.49194
531	20779.20142
532	20764.07327
533	20750.27697
534	20738.88335
535	20726.78841
536	20714.04976
537	20698.43301
538	20687.23667
539	20670.527
540	20658.31082
541	20642.17704
542	20636.08746
543	20624.95519
544	20608.03806
545	20593.83138
546	20577.50114
547	20565.95673
548	20555.20318
549	20536.00584
550	20522.33449
551	20510.70259
552	20501.9072
553	20491.14909
554	20476.93211
555	20457.68844
556	20445.10929
557	20435.15014
558	20424.44263
559	20413.93408
560	20406.83226
561	20396.00418
562	20380.23825
563	20372.45146
564	20361.70127
565	20351.42864
566	20342.12823
567	20330.48437
568	20317.61327
569	20310.47288
570	20300.88179
571	20289.66124
572	20277.73092
573	20264.8942
574	20248.88912
575	20237.11905
576	20224.81873
577	20211.84363
578	20199.79613
579	20190.35494
580	20174.37451
581	20160.19592
582	20153.60985
583	20145.17218
584	20130.80727
585	20119.40368
586	20109.37989
587	20100.40685
588	20095.36393
589	20082.01674
590	20074.49768
591	20065.49637
592	20057.35008
593	20042.00019
594	20030.77415
595	20022.61043
596	20008.58598
597	19999.26893
598	19990.67997
599	19979.34116
600	19967.11377
601	19955.11981
602	19945.44851
603	19935.54734
604	19927.06128
605	19918.72145
606	19902.84706
607	19892.91902
608	19881.74806
609	19867.60135
610	19856.10597
611	19849.98245
612	19840.31944
613	19829.24166
614	19815.48154
615	19809.60709
616	19802.96316
617	19789.5307
618	19773.80296
619	19760.78869
620	19756.65855
621	19749.02165
622	19746.13341
623	19733.72323
624	19724.62019
625	19713.94451
626	19708.71828
627	19702.35049
628	19682.73939
629	19673.7607
630	19658.95635
631	19654.3282
632	19645.93745
633	19631.90618
634	19619.59193
635	19605.19137
636	19599.56229
637	19592.94234
638	19575.88922
639	19570.07187
640	19562.9062
641	19551.1243
642	19533.71514
643	19522.44207
644	19509.82555
645	19501.88811
646	19497.67239
647	19490.82486
648	19480.77621
649	19467.99778
650	19455.00858
651	19440.55351
652	19433.0939
653	19422.55891
654	19413.29799
655	19404.35111
656	19394.47939
657	19385.60645
658	19379.17834
659	19368.21529
660	19357.33941
661	19344.42262
662	19335.60527
663	19324.86394
664	19318.60387
665	19308.49055
666	19304.91372
667	19293.57717
668	19281.95848
669	19272.44074
670	19263.64521
671	19254.54328
672	19239.91695
673	19229.03457
674	19217.91213
675	19210.14927
676	19206.67988
677	19194.15361
678	19182.65722
679	19174.64515
680	19164.2088
681	19154.0088
682	19147.02038
683	19141.80999
684	19137.35174
685	19126.46944
686	19116.11376
687	19106.17745
688	19090.85026
689	19081.35441
690	19069.01565
691	19060.66119
692	19053.62221
693	19041.58932
694	19033.23244
695	19022.81489
696	19008.74195
697	19001.83589
698	18995.67111
699	18984.16217
700	18978.3316
701	18964.99403
702	18953.56554
703	18937.39361
704	18929.59426
705	18919.30394
706	18908.43845
707	18900.41769
708	18890.28184
709	18881.68136
710	18871.75752
711	18860.9008
712	18849.52953
713	18844.69815
714	18835.01079
715	18827.86479
716	18821.46068
717	18814.44565
718	18801.85142
719	18792.9447
720	18787.24526
721	18779.40109
722	18770.59615
723	18758.81884
724	18746.60764
725	18744.30557
726	18737.69234
727	18730.70949
728	18716.96719
729	18716.26367
730	18707.71964
731	18698.03646
732	18690.04322
733	18681.533
734	18670.41058
735	18661.44394
736	18653.23678
737	18638.97952
738	18630.23949
739	18621.22648
740	18611.39894
741	18605.49943
742	18602.96062
743	18595.22165
744	18589.68129
745	18579.88465
746	18575.98907
747	18570.31975
748	18557.76561
749	18547.79495
750	18539.74259
751	18529.98596
752	18523.9505
753	18517.05847
754	18513.96388
755	18502.55861
756	18498.2128
757	18490.98932
758	18478.63435
759	18475.14297
760	18467.19187
761	18458.50237
762	18441.47934
763	18432.37636
764	18423.88752
765	18414.64094
766	18406.58284
767	18392.43969
768	18384.98505
769	18378.1865
770	18366.25383
771	18351.90945
772	18346.92073
773	18336.35759
774	18327.72607
775	18319.75642
776	18308.00249
777	18303.7081
778	18294.97477
779	18285.05971
780	18274.98898
781	18264.16848
782	18257.58476
783	18247.51718
784	18241.62485
785	18233.96996
786	18229.76849
787	18221.70104
788	18211.62251
789	18201.72037
790	18192.09938
791	18189.45349
792	18177.29036
793	18171.6074
794	18163.45419
795	18155.29134
796	18144.56012
797	18136.85859
798	18129.73423
799	18121.86672
800	18112.44333
801	18103.6883
802	18100.45908
803	18089.74752
804	18080.46711
805	18076.61826
806	18070.35349
807	18064.07635
808	18051.53495
809	18044.54257
810	18036.04645
811	18027.75525
812	18019.88062
813	18014.51006
814	18004.61379
815	17996.54017
816	17989.06534
817	17977.83743
818	17969.12073
819	17962.34699
820	17953.10137
821	17943.33934
822	17935.4202
823	17924.08856
824	17916.4088
825	17910.94727
826	17900.80845
827	17898.56929
828	17890.17614
829	17883.01405
830	17877.33977
831	17870.9229
832	17864.19212
833	17851.44927
834	17845.37244
835	17838.02719
836	17833.20492
837	17824.68909
838	17814.87745
839	17806.74063
840	17798.35581
841	17792.4651
842	17783.35485
843	17772.82609
844	17772.15018
845	17764.00644
846	17761.30265
847	17753.01597
848	17744.2554
849	17739.11938
850	17732.23436
851	17720.56286
852	17712.60206
853	17699.60492
854	17698.30248
855	17686.53605
856	17674.84738
857	17666.24504
858	17659.01531
859	17649.5182
860	17643.91459
861	17639.89184
862	17631.94042
863	17626.89001
864	17618.6447
865	17608.52064
866	17601.21148
867	17592.40289
868	17582.43833
869	17579.41552
870	17574.36729
871	17564.96659
872	17561.17245
873	17551.00118
874	17543.73967
875	17538.518
876	17534.20685
877	17529.04968
878	17522.22225
879	17518.42516
880	17509.43695
881	17504.73549
882	17495.15994
883	17487.02176
884	17479.46314
885	17475.13765
886	17464.49265
887	17455.34832
888	17450.53652
889	17446.52729
890	17440.73472
891	17438.80165
892	17433.86064
893	17430.35608
894	17422.66805
895	17416.35261
896	17409.4377
897	17408.76901
898	17403.028
899	17398.1446
900	17392.90565
901	17381.61871
902	17374.45654
903	17373.95035
904	17363.7756
905	17358.87066
906	17352.85769
907	17345.41549
908	17343.34258
909	17335.9098
910	17328.21086
911	17322.29992
912	17317.22671
913	17312.86157
914	17304.22999
915	17300.04956
916	17291.58692
917	17287.90707
918	17278.36649
919	17270.71469
920	17265.78264
921	17260.93196
922	17254.40979
923	17245.58466
924	17237.16242
925	17232.69186
926	17229.03632
927	17223.22952
928	17221.46169
929	17212.2321
930	17203.44838
931	17193.12791
932	17188.79518
933	17180.00447
934	17175.9485
935	17168.13008
936	17164.58425
937	17157.5542
938	17154.4381
939	17146.12781
940	17145.3444
941	17140.69283
942	17134.77939
943	17132.15771
944	17126.5072
945	17116.61056
946	17110.50493
947	17103.08182
948	17096.87241
949	17094.55194
950	17085.1538
951	17079.27941
952	17073.24477
953	17067.08935
954	17066.06392
955	17060.26319
956	17052.51614
957	17046.9089
958	17040.31193
959	17034.20294
960	17024.67822
961	17023.63247
962	17018.44296
963	17015.05957
964	17014.41827
965	17013.8799
966	17008.98333
967	17001.00375
968	16990.45137
969	16984.54539
970	16975.93305
971	16970.36158
972	16968.15648
973	16964.12525
974	16954.00915
975	16947.25337
976	16937.69729
977	16932.97301
978	16926.1471
979	16921.90179
980	16912.25116
981	16908.09735
982	16901.52483
983	16895.39381
984	16889.67486
985	16885.8434
986	16878.09325
987	16875.0065
988	16866.74303
989	16859.09325
990	16855.01222
991	16847.63029
992	16838.61932
993	16828.31654
994	16821.25518
995	16815.64314
996	16814.49839
997	16811.82839
998	16803.28675
999	16795.14943
